"","model_label","model_code","ref_label","ref_percent","bps_name","current_percent"
"179","10860_27_31_33_UN","10860_27_31_33","UN",0,"Rocky Mountain Lower Montane-Foothill Shrubland",6
"180","10860_27_31_33_UE","10860_27_31_33","UE",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"181","10860_28_A","10860_28","A",14,"Rocky Mountain Lower Montane-Foothill Shrubland",17
"182","10860_28_B","10860_28","B",16,"Rocky Mountain Lower Montane-Foothill Shrubland",50
"183","10860_28_C","10860_28","C",6,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"184","10860_28_D","10860_28","D",10,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"185","10860_28_E","10860_28","E",54,"Rocky Mountain Lower Montane-Foothill Shrubland",31
"186","10860_28_Agriculture","10860_28","Agriculture",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"187","10860_28_Developed","10860_28","Developed",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"188","10860_28_Water","10860_28","Water",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"189","10860_28_UN","10860_28","UN",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"190","10860_28_UE","10860_28","UE",0,"Rocky Mountain Lower Montane-Foothill Shrubland",0
"191","10940_27_33_A","10940_27_33","A",5,"Western Great Plains Sandhill Steppe",0
"192","10940_27_33_B","10940_27_33","B",39,"Western Great Plains Sandhill Steppe",33
"193","10940_27_33_C","10940_27_33","C",56,"Western Great Plains Sandhill Steppe",14
"194","10940_27_33_D","10940_27_33","D",NA,"Western Great Plains Sandhill Steppe",0
"195","10940_27_33_E","10940_27_33","E",NA,"Western Great Plains Sandhill Steppe",0
"196","10940_27_33_Agriculture","10940_27_33","Agriculture",0,"Western Great Plains Sandhill Steppe",0
"197","10940_27_33_Developed","10940_27_33","Developed",0,"Western Great Plains Sandhill Steppe",0
"198","10940_27_33_Water","10940_27_33","Water",0,"Western Great Plains Sandhill Steppe",0
"199","10940_27_33_UN","10940_27_33","UN",0,"Western Great Plains Sandhill Steppe",48
"200","10940_27_33_UE","10940_27_33","UE",0,"Western Great Plains Sandhill Steppe",3
"201","11070_25_28_A","11070_25_28","A",8,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",50
"202","11070_25_28_B","11070_25_28","B",46,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",8
"203","11070_25_28_C","11070_25_28","C",17,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",8
"204","11070_25_28_D","11070_25_28","D",29,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",33
"205","11070_25_28_E","11070_25_28","E",NA,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"206","11070_25_28_Agriculture","11070_25_28","Agriculture",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"207","11070_25_28_Developed","11070_25_28","Developed",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"208","11070_25_28_Water","11070_25_28","Water",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"209","11070_25_28_UN","11070_25_28","UN",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"210","11070_25_28_UE","11070_25_28","UE",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"211","11070_27_33_A","11070_27_33","A",8,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"212","11070_27_33_B","11070_27_33","B",38,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",20
"213","11070_27_33_C","11070_27_33","C",54,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"214","11070_27_33_D","11070_27_33","D",NA,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"215","11070_27_33_E","11070_27_33","E",NA,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"216","11070_27_33_Agriculture","11070_27_33","Agriculture",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",4
"217","11070_27_33_Developed","11070_27_33","Developed",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1
"218","11070_27_33_Water","11070_27_33","Water",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",0
"219","11070_27_33_UN","11070_27_33","UN",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",71
"220","11070_27_33_UE","11070_27_33","UE",0,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",2
"221","11110_27_33_A","11110_27_33","A",14,"Western Great Plains Mesquite Woodland and Shrubland",8
"222","11110_27_33_B","11110_27_33","B",4,"Western Great Plains Mesquite Woodland and Shrubland",89
"223","11110_27_33_C","11110_27_33","C",82,"Western Great Plains Mesquite Woodland and Shrubland",0
"224","11110_27_33_D","11110_27_33","D",NA,"Western Great Plains Mesquite Woodland and Shrubland",0
"225","11110_27_33_E","11110_27_33","E",NA,"Western Great Plains Mesquite Woodland and Shrubland",0
"226","11110_27_33_Agriculture","11110_27_33","Agriculture",0,"Western Great Plains Mesquite Woodland and Shrubland",0
"227","11110_27_33_Developed","11110_27_33","Developed",0,"Western Great Plains Mesquite Woodland and Shrubland",0
"228","11110_27_33_Water","11110_27_33","Water",0,"Western Great Plains Mesquite Woodland and Shrubland",0
"229","11110_27_33_UN","11110_27_33","UN",0,"Western Great Plains Mesquite Woodland and Shrubland",0
"230","11110_27_33_UE","11110_27_33","UE",0,"Western Great Plains Mesquite Woodland and Shrubland",0
"231","11170_13_15_28_A","11170_13_15_28","A",11,"Southern Rocky Mountain Ponderosa Pine Savanna",72
"232","11170_13_15_28_B","11170_13_15_28","B",2,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"233","11170_13_15_28_C","11170_13_15_28","C",23,"Southern Rocky Mountain Ponderosa Pine Savanna",18
"234","11170_13_15_28_D","11170_13_15_28","D",60,"Southern Rocky Mountain Ponderosa Pine Savanna",1
"235","11170_13_15_28_E","11170_13_15_28","E",4,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"236","11170_13_15_28_Agriculture","11170_13_15_28","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Savanna",6
"237","11170_13_15_28_Developed","11170_13_15_28","Developed",0,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"238","11170_13_15_28_Water","11170_13_15_28","Water",0,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"239","11170_13_15_28_UN","11170_13_15_28","UN",0,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"240","11170_13_15_28_UE","11170_13_15_28","UE",0,"Southern Rocky Mountain Ponderosa Pine Savanna",0
"241","11171_27_A","11171_27","A",4,"Southern Rocky Mountain Ponderosa Pine Savanna - South",90
"242","11171_27_B","11171_27","B",13,"Southern Rocky Mountain Ponderosa Pine Savanna - South",9
"243","11171_27_C","11171_27","C",83,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
"244","11171_27_D","11171_27","D",NA,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
"245","11171_27_E","11171_27","E",NA,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
"246","11171_27_Agriculture","11171_27","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
"247","11171_27_Developed","11171_27","Developed",0,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
"248","11171_27_Water","11171_27","Water",0,"Southern Rocky Mountain Ponderosa Pine Savanna - South",0
